Year,State,therapy_near_me,no_friends,kill_myself,self_harm,feeling_alone,suicide,sin,hate_myself,divorce,fitting_in,kill_yourself,jesus,bullying,lonely,guilty,feeling_sad,suicide_hotline,i_hate_my_parents,hope,cant_sleep,eating_disorder,therapy,faith,abusive_parents,i_want_to_die,coping_with_stress,depression,cutting,school_stress,hell
2005,Illinois,0,29.0,18.0,14.0,8.0,72,60.0,28.0,73,11.0,32.0,68,51.0,64,59.0,12.0,16.0,72.0,40,0.0,53.0,64,54,0.0,13.0,3.0,65,69,37.0,55
2005,Indiana,0,25.0,34.0,0.0,0.0,83,68.0,33.0,78,49.0,43.0,85,85.0,63,58.0,33.0,44.0,0.0,53,0.0,62.0,66,79,45.0,9.0,24.0,76,75,57.0,77
2005,Iowa,34.0,29.0,0.0,83.0,0.0,84,64.0,17.0,79,0.0,0.0,71,98.0,71,59.0,73.0,24.0,0.0,50,0.0,78.0,68,75,0.0,15.0,0.0,80,84,100.0,64
2005,Kansas,0,47.0,0.0,0.0,0.0,80,72.0,13.0,80,75.0,44.0,75,53.0,68,65.0,0.0,0.0,0.0,48,0.0,54.0,68,74,0.0,13.0,20.0,71,76,0.0,86
2005,Kentucky,0,32.0,0.0,62.0,0.0,80,69.0,26.0,83,58.0,43.0,97,82.0,65,54.0,0.0,0.0,0.0,44,0.0,58.0,80,79,100.0,19.0,39.0,78,80,53.0,73
2005,Louisiana,17.0,28.0,50.0,0.0,24.0,75,70.0,16.0,73,56.0,45.0,77,0.0,70,60.0,0.0,26.0,0.0,43,0.0,33.0,67,75,0.0,0.0,16.0,67,71,34.0,67
2005,Maine,0,40.0,74.0,47.0,0.0,92,63.0,34.0,66,0.0,66.0,58,100.0,78,61.0,0.0,22.0,0.0,47,0.0,56.0,81,61,0.0,28.0,0.0,87,93,53.0,71
2005,Maryland,6.0,34.0,14.0,22.0,0.0,73,73.0,26.0,76,0.0,28.0,61,37.0,66,72.0,0.0,18.0,0.0,46,0.0,73.0,61,57,0.0,9.0,13.0,61,60,33.0,63
2005,Massachusetts,0,45.0,45.0,6.0,12.0,72,62.0,23.0,58,43.0,39.0,47,42.0,80,57.0,23.0,10.0,0.0,43,0.0,92.0,79,46,0.0,19.0,4.0,57,65,25.0,59
2005,Michigan,0,49.0,59.0,17.0,0.0,82,66.0,31.0,73,35.0,45.0,63,54.0,71,61.0,0.0,11.0,0.0,60,0.0,82.0,56,65,16.0,22.0,0.0,69,83,16.0,74
2005,Minnesota,0,45.0,19.0,24.0,0.0,72,56.0,22.0,72,39.0,47.0,64,57.0,74,41.0,26.0,14.0,0.0,60,0.0,88.0,66,66,11.0,12.0,13.0,70,78,37.0,61
2005,Mississippi,0,0.0,0.0,0.0,0.0,77,63.0,39.0,87,0.0,52.0,100,44.0,49,100.0,0.0,100.0,0.0,46,0.0,45.0,82,100,0.0,0.0,84.0,75,83,0.0,74
2005,Missouri,0,25.0,40.0,16.0,13.0,75,58.0,23.0,80,21.0,43.0,72,48.0,57,58.0,20.0,10.0,0.0,49,0.0,71.0,66,73,12.0,22.0,0.0,65,72,61.0,75
